City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
46,Saint-Philippe,-21.3585,55.7679,300.9,86,39,7.74,scattered clouds,RE,2022-01-22 02:31:26
47,Bredasdorp,-34.5322,20.0403,295.53,88,100,5.66,overcast clouds,ZA,2022-01-22 02:31:26
48,Bluff,-46.6,168.3333,288.6,71,30,8.94,scattered clouds,NZ,2022-01-22 02:31:27
49,Aykhal,66.0,111.5,248.76,100,60,2.64,broken clouds,RU,2022-01-22 02:31:27
50,Victoria,22.2855,114.1577,292.56,93,100,0.45,overcast clouds,HK,2022-01-22 02:31:27
51,Busselton,-33.65,115.3333,310.95,30,5,3.26,clear sky,AU,2022-01-22 02:31:27
52,Asau,46.4333,26.4,270.79,60,22,3.27,few clouds,RO,2022-01-22 02:31:28
53,Kapaa,22.0752,-159.319,300.64,69,0,0.89,haze,US,2022-01-22 02:31:28
54,Amparafaravola,-17.5833,48.2167,291.79,95,100,3.25,overcast clouds,MG,2022-01-22 02:31:28
55,Maceio,-9.6658,-35.7353,298.84,88,40,1.03,scattered clouds,BR,2022-01-22 02:31:29
56,Punta Arenas,-53.15,-70.9167,288.21,51,75,4.12,broken clouds,CL,2022-01-22 02:30:05
57,Acapulco,16.8634,-99.8901,299.05,78,40,1.54,scattered clouds,MX,2022-01-22 02:29:51
58,Mount Isa,-20.7333,139.5,304.02,51,100,7.2,overcast clouds,AU,2022-01-22 02:31:09
59,Souillac,-20.5167,57.5167,301.13,85,28,7.32,scattered clouds,MU,2022-01-22 02:31:29
60,Ust-Kuyga,70.0167,135.6,239.84,93,100,3.87,overcast clouds,RU,2022-01-22 02:31:29
61,Saint George,37.1041,-113.5841,283.48,40,100,4.47,overcast clouds,US,2022-01-22 02:31:30
62,Bandarbeyla,9.4942,50.8122,296.91,78,100,7.26,overcast clouds,SO,2022-01-22 02:31:30
63,Vaini,-21.2,-175.2,300.2,66,75,7.21,broken clouds,TO,2022-01-22 02:31:30
64,Batos,46.8833,24.6667,264.31,98,99,0.48,light snow,RO,2022-01-22 02:31:31
65,Arandis,-22.4167,14.9667,291.19,71,100,1.06,overcast clouds,NA,2022-01-22 02:31:31
66,Mount Gambier,-37.8333,140.7667,307.1,20,62,7.72,broken clouds,AU,2022-01-22 02:29:59
67,Hobart,-42.8794,147.3294,303.85,49,40,0.89,scattered clouds,AU,2022-01-22 02:27:43
68,Dwarka,22.2394,68.9678,294.89,65,8,9.25,clear sky,IN,2022-01-22 02:31:31
69,Hamilton,39.1834,-84.5333,265.86,73,0,0.45,clear sky,US,2022-01-22 02:30:19
70,Lebu,-37.6167,-73.65,286.02,88,75,3.63,broken clouds,CL,2022-01-22 02:31:01
71,Lompoc,34.6391,-120.4579,291.55,51,0,2.06,clear sky,US,2022-01-22 02:28:27
72,Khatanga,71.9667,102.5,263.43,92,100,7.65,overcast clouds,RU,2022-01-22 02:30:07
73,Puerto Ayora,-0.7393,-90.3518,296.49,91,36,3.29,scattered clouds,EC,2022-01-22 02:31:15
74,Kruisfontein,-34.0033,24.7314,294.2,95,86,2.0,overcast clouds,ZA,2022-01-22 02:31:32
75,Pevek,69.7008,170.3133,234.51,100,69,1.2,broken clouds,RU,2022-01-22 02:28:19
76,Carballo,43.213,-8.691,280.85,70,0,3.22,clear sky,ES,2022-01-22 02:31:32
77,Chapais,49.7834,-74.8492,250.03,88,19,4.63,few clouds,CA,2022-01-22 02:31:32
78,Georgetown,5.4112,100.3354,302.11,76,20,0.45,few clouds,MY,2022-01-22 02:30:24
79,Madukkarai,10.9,76.9667,295.53,94,100,0.0,mist,IN,2022-01-22 02:31:33
80,Klaksvik,62.2266,-6.589,280.66,83,100,11.98,overcast clouds,FO,2022-01-22 02:31:33
81,Yaan,7.3833,8.5667,296.24,23,100,2.9,overcast clouds,NG,2022-01-22 02:31:33
82,Broome,42.2506,-75.833,259.07,71,0,0.45,clear sky,US,2022-01-22 02:31:34
83,Khilok,51.3674,110.4676,258.9,87,91,0.84,overcast clouds,RU,2022-01-22 02:31:34
84,Ahipara,-35.1667,173.1667,295.91,55,51,1.1,broken clouds,NZ,2022-01-22 02:31:34
85,Tyukhtet,56.5389,89.3011,253.24,100,55,1.69,broken clouds,RU,2022-01-22 02:31:35
86,Pryazha,61.6926,33.6216,268.72,95,100,3.1,overcast clouds,RU,2022-01-22 02:31:35
87,Bereda,43.2686,-7.5406,278.01,82,12,2.68,few clouds,ES,2022-01-22 02:31:35
88,Westport,41.1415,-73.3579,268.57,56,0,0.45,clear sky,US,2022-01-22 02:22:25
89,Ceska Skalice,50.3947,16.0428,274.88,98,100,2.3,light snow,CZ,2022-01-22 02:31:36
90,Quincy,42.2529,-71.0023,267.01,55,40,2.68,scattered clouds,US,2022-01-22 02:24:51
91,Natal,-5.795,-35.2094,299.27,83,40,2.57,scattered clouds,BR,2022-01-22 02:29:47
92,Kyaikkami,16.08,97.5675,297.83,71,51,2.2,broken clouds,MM,2022-01-22 02:32:36
93,Port Hardy,50.6996,-127.4199,279.13,100,100,1.03,mist,CA,2022-01-22 02:30:15
94,Gazojak,41.1875,61.4036,269.66,91,7,3.48,clear sky,TM,2022-01-22 02:32:36
95,Cidreira,-30.1811,-50.2056,298.13,88,12,9.69,few clouds,BR,2022-01-22 02:32:37
96,Port Macquarie,-31.4333,152.9167,298.13,64,45,5.76,scattered clouds,AU,2022-01-22 02:31:59
97,Ancud,-41.8697,-73.8203,287.27,77,100,5.35,overcast clouds,CL,2022-01-22 02:31:40
98,Tasiilaq,65.6145,-37.6368,263.24,51,24,4.68,few clouds,GL,2022-01-22 02:32:37
99,Limbang,4.75,115.0,301.32,64,99,0.39,overcast clouds,MY,2022-01-22 02:32:37
100,Hithadhoo,-0.6,73.0833,300.58,72,100,4.2,overcast clouds,MV,2022-01-22 02:32:38
101,Port Elizabeth,-33.918,25.5701,295.43,100,75,3.6,broken clouds,ZA,2022-01-22 02:32:38
102,Basco,20.4487,121.9702,297.47,78,99,12.28,overcast clouds,PH,2022-01-22 02:32:38
103,Anadyr,64.75,177.4833,239.43,68,100,6.0,overcast clouds,RU,2022-01-22 02:32:39
104,Hasaki,35.7333,140.8333,281.09,35,4,4.23,clear sky,JP,2022-01-22 02:32:39
105,Carnarvon,-24.8667,113.6333,316.19,8,36,7.72,scattered clouds,AU,2022-01-22 02:32:39
106,Clyde River,70.4692,-68.5914,251.28,71,100,2.06,light snow,CA,2022-01-22 02:32:40
107,Iqaluit,63.7506,-68.5145,248.0,69,100,7.15,overcast clouds,CA,2022-01-22 02:29:48
108,Vostok,46.4856,135.8833,257.89,86,25,1.39,scattered clouds,RU,2022-01-22 02:32:40
109,Romblon,12.5751,122.2708,299.53,78,60,6.35,broken clouds,PH,2022-01-22 02:32:40
110,Mahebourg,-20.4081,57.7,301.07,84,27,8.46,light rain,MU,2022-01-22 02:32:41
111,Kununurra,-15.7667,128.7333,304.14,74,100,2.57,overcast clouds,AU,2022-01-22 02:32:41
112,Asyut,27.181,31.1837,279.25,62,0,3.17,clear sky,EG,2022-01-22 02:32:32
113,Vao,-22.6667,167.4833,299.56,86,57,3.92,broken clouds,NC,2022-01-22 02:32:41
114,Nome,64.5011,-165.4064,270.19,80,100,8.23,overcast clouds,US,2022-01-22 02:28:36
115,Ivanava,52.1451,25.5365,269.65,94,100,6.41,light snow,BY,2022-01-22 02:32:42
116,Khandyga,62.6667,135.6,246.0,95,100,0.59,overcast clouds,RU,2022-01-22 02:32:42
117,Santa Cruz,-17.8,-63.1667,296.85,94,40,4.63,scattered clouds,BO,2022-01-22 02:32:42
118,Nyurba,63.2842,118.3319,251.54,97,68,3.37,broken clouds,RU,2022-01-22 02:32:43
119,Guerrero Negro,27.9769,-114.0611,289.44,73,0,5.86,clear sky,MX,2022-01-22 02:30:07
120,Taltal,-25.4,-70.4833,292.65,75,1,1.99,clear sky,CL,2022-01-22 02:32:43
121,Nisia Floresta,-6.0911,-35.2086,299.36,78,95,1.66,overcast clouds,BR,2022-01-22 02:32:43
122,Turayf,31.6725,38.6637,271.29,86,0,4.12,clear sky,SA,2022-01-22 02:32:43
123,Trelew,-43.249,-65.3051,294.95,32,0,4.18,clear sky,AR,2022-01-22 02:32:44
124,Vestmanna,62.1564,-7.1664,279.66,81,20,8.75,few clouds,FO,2022-01-22 02:32:44
125,Ameca,20.55,-104.0333,292.83,52,80,1.91,broken clouds,MX,2022-01-22 02:32:44
126,Saskylakh,71.9167,114.0833,261.59,90,100,5.25,overcast clouds,RU,2022-01-22 02:32:29
127,Thompson,55.7435,-97.8558,249.24,64,75,5.66,broken clouds,CA,2022-01-22 02:32:45
128,Olinda,-8.0089,-34.8553,301.0,74,40,2.57,scattered clouds,BR,2022-01-22 02:32:05
129,Pangnirtung,66.1451,-65.7125,245.32,84,97,2.17,overcast clouds,CA,2022-01-22 02:32:45
130,Benguela,-12.5763,13.4055,295.61,79,96,0.94,overcast clouds,AO,2022-01-22 02:32:45
131,Naze,28.3667,129.4833,291.66,61,91,6.32,overcast clouds,JP,2022-01-22 02:32:46
132,Castro,-24.7911,-50.0119,291.24,87,31,2.08,scattered clouds,BR,2022-01-22 02:32:46
